title,author,genre,length,possession,begins,ends,reason,periodical
Mr Penumbras 24 Hour Bookstore,Robin Sloan,Fiction: Contemporary,,3/30/2014,6/1/2014,6/7/2014,Recommended,0
PS1 Symposium: A Practical Avant Garde,n+1,Nonfiction: Essay,63,,4/5/2014,4/6/2014,Interest,0
Show Your Work,Austin Kleon,Nonfiction: Moticational,,3/30/2014,,,Motivation,0
VQR,Multi,Periodical,224,6/1/2013,7/1/2013,,Interest,1
O My America,Sara Wheeler,Nonfiction: Biography,281,2/14/2014,,,Gift,0
Names,Marilyn Hacker,Poetry,105,,,,Fascination,0
The Glass Key,Dashiell Hammett,Fiction: Mystery,214,,,,Recommended,0
Why Does the World Exist,Jim Holt,Nonfiction: Essay,307,7/23/3013,,,Existential Crisis,0
The Long Embrace,Judith Freeman,Nonfiction: Biography,353,3/1/2013,3/15/2013,,Existential Crisis,0
Vagabonding,Rolf Potts,Nonfiction: Travel,206,2/4/2014,,,Recommended,0
The Disappointment Artist,Jonathan Lethem,Nonfiction: Essay,149,2/1/2013,2/15/2013,,Existential Crisis,0
College of One,Sheilah Graham,Nonfiction: Biography,286,5/14/2013,,,Interest,0
Selected Stories,John O'Hara,Fiction: Modern,226,8/25/2013,,,Interest,0
Elegy for April,Benjamin Black,Fiction: Mystery,343,8/25/2013,,,Interest,0
Soundings,Hali Felt,Nonfiction: History,340,12/25/2013,,,Gift,0
Girls To The Front,Sara Marcus,Nonfiction: Music,367,1/15/2014,1/15/2014,,Interest,0
Why Read Moby Dick,Nathaniel Philbrick,Nonfiction: Literature,126,5/14/2013,5/14/2013,,Gift,0
An Attempt at Exhausting a Place in Paris,Georges Perec,Fiction: Contemporary,54,3/1/2010,3/2/2010,,Interest,0
Model View Culture No.1,Multi,Periodical,96,4/1/2014,,,Support,1
Apartamento,Multi,Periodical,264,4/16/2014,4/26/2014,,Inspiration,1
Arsene Lupin Gentleman-Burglar,Maurice Leblanc,Fiction: Mystery,139,7/6/2013,,,Mystery Obsession,0
A Murder In Memoriam,Didier Daeninckx,Fiction: Mystery,185,5/14/2013,,,Mystery Obsession,0
Everything Happens Today,Jesse Browner,Fiction: Contemporary,216,7/9/2013,,,Recommended,0
The Associates,Richard Rayner,Nonfiction: History,223,,,,Interest,0
Snoop,Sam Gosling,Nonfiction: Psychology,263,,,,Interest,0
Break It Down,Lydia Davis,Fiction: Contemporary,177,7/23/3013,,,Affection,0
Atta,Jarrett Kobek,Fiction: Contemporary,199,12/7/2013,,,Fascination,0
The Sea,John Banville,Fiction: Contemporary,264,11/15/2013,12/14/2013,,Reward,0
The Wilder Life,Wendy McClure,Nonfiction: History,336,1/26/2013,,,Interest,0
Spade & Archer,Joe Gores,Fiction: Mystery,337,2/2/2013,,,Consolation,0
Best American Mystery Stories 2011,Multi,Fiction: Mystery,410,2/2/2013,,,Consolation,0
Mr Arkadin,Orson Welles ,Fiction: Mystery,226,2/2/2013,,,Consolation,0
Maphead,Ken Jennings,Nonfiction: General,276,2/12/2012,2/14/2012,,Gift,0
Cultural Amnesia,Clive James,Nonfiction: General,876,1/26/2013,,,Hope,0
French Lessons,Alice Kaplan,Noonfiction: Memoir,221,4/25/2014,,,Recognition,0
Rambling On: An Apprentices Guide to the Gift of Gab,Bohumil Hrabal,Fiction: Modern,350,4/25/2014,,,Nostalgia,0
Fun Home,Alison Bechdel,Fiction: Graphic,232,5/7/2014,5/11/2014,5/11/2014,Excitement,0
Are You My Mother?,Alison Bechdel,Fiction: Graphic,290,5/7/2014,5/17/2014,5/21/2014,Excitement,0
Where the Heart Beats,Kay Larson,Nonfiction: Biography,474,8/25/2013,8/28/2013,,Recognition,0
Buddhism Without Beliefs,Stephen Batchelor,Nonfiction: Buddhism,127,11/16/2013,11/18/2013,,Comfort,0
Slow Reding in a Hurried Age,David Mikics,Nonfiction: Essay,320,12/7/2013,12/16/2014,,Improvement,0
"Bright Lights, Big City",Jay McInerney ,FIction: Contemporary,182,,,,Interest,0
The Dud Avocado,Elaine Dundy,Fiction: Modern,260,5/7/2014,,,Recognition,0
Pedaling Revolution,Jeff Mapes,Nonfiction: History,288,,,,Interest,0
Being Wrong,Kathryn Schulz,Nonfiction: History,440,10/12/2013,,,Comfort,0
You Are Not a Gadget,Jaron Lanier,Nonfiction: Essay,210,1/20/2011,,,Gift,0
Daring Greatly,Brene Brown,Nonfiction: General ,288,3/1/2013,,,Comfort,0
A Handful of Dust,Evylen Waugh,Fiction: Modern,308,,,,Interest,0
The Secret Life of the Grown-Up Brain,Barbara Strauch,Nonfiction: Biology,228,,,,Interest,0
Tne Chronology of Water,Lidia Yuknavitch,Nonfiction: Memoirt,310,,,,Interest,0
The Mountain Lion,Jean Stafford,Fiction: Modern,240,,,,Hope,0
Oom,Robert Love,Nonficiton: History,402,11/18/2014,,,Interest,0
Dr Who and the Tomb of the Cybermen,Gerry Davis,FIction: Contemporary,141,7/20/2012,,,Fandom,0
Dr Who and the Loch Ness Monster,Terrance Dicks,FIction: Contemporary,146,7/20/2012,,,Fandom,0
A Minute's Silence,Sigfried Lenz,Fiction: Modern,125,1/23/2014,,,Interest,0
